ICDCMCode,DiagnosisDesc,TotalDiag
H16.051,"MOOREN'S CORNEAL ULCER, RIGHT EYE",1
H16.053,"MOOREN'S CORNEAL ULCER, BILATERAL",2
H16.061,"MYCOTIC CORNEAL ULCER, RIGHT EYE",2
H16.069,"MYCOTIC CORNEAL ULCER, UNSPECIFIED EYE",1
H16.071,"PERFORATED CORNEAL ULCER, RIGHT EYE",18
H16.072,"PERFORATED CORNEAL ULCER, LEFT EYE",21
H16.073,"PERFORATED CORNEAL ULCER, BILATERAL",2
H16.101,"UNSPECIFIED SUPERFICIAL KERATITIS, RIGHT EYE",17
H16.102,"UNSPECIFIED SUPERFICIAL KERATITIS, LEFT EYE",18
H16.103,"UNSPECIFIED SUPERFICIAL KERATITIS, BILATERAL",12
H16.109,"UNSPECIFIED SUPERFICIAL KERATITIS, UNSPECIFIED EYE",3
H16.113,"MACULAR KERATITIS, BILATERAL",2
H16.121,"FILAMENTARY KERATITIS, RIGHT EYE",5
H16.122,"FILAMENTARY KERATITIS, LEFT EYE",3
H16.123,"FILAMENTARY KERATITIS, BILATERAL",9
H16.131,"PHOTOKERATITIS, RIGHT EYE",29
H16.132,"PHOTOKERATITIS, LEFT EYE",46
H16.133,"PHOTOKERATITIS, BILATERAL",549
H16.139,"PHOTOKERATITIS, UNSPECIFIED EYE",38
H16.141,"PUNCTATE KERATITIS, RIGHT EYE",33
H16.142,"PUNCTATE KERATITIS, LEFT EYE",40
H16.143,"PUNCTATE KERATITIS, BILATERAL",30
H16.149,"PUNCTATE KERATITIS, UNSPECIFIED EYE",4
H16.201,"UNSPECIFIED KERATOCONJUNCTIVITIS, RIGHT EYE",63
H16.202,"UNSPECIFIED KERATOCONJUNCTIVITIS, LEFT EYE",56
H16.203,"UNSPECIFIED KERATOCONJUNCTIVITIS, BILATERAL",97
H16.209,"UNSPECIFIED KERATOCONJUNCTIVITIS, UNSPECIFIED EYE",13
H16.211,"EXPOSURE KERATOCONJUNCTIVITIS, RIGHT EYE",9
H16.212,"EXPOSURE KERATOCONJUNCTIVITIS, LEFT EYE",10
H16.213,"EXPOSURE KERATOCONJUNCTIVITIS, BILATERAL",17
H16.219,"EXPOSURE KERATOCONJUNCTIVITIS, UNSPECIFIED EYE",1
H16.221,"KERATOCONJUNCT SICCA, NOT SPECIFIED AS SJOGREN'S, RIGHT EYE",6
H16.222,"KERATOCONJUNCT SICCA, NOT SPECIFIED AS SJOGREN'S, LEFT EYE",7
H16.223,"KERATOCONJUNCT SICCA, NOT SPECIFIED AS SJOGREN'S, BILATERAL",89
H16.229,"KERATOCONJUNCT SICCA, NOT SPECIFIED AS SJOGREN'S, UNSP EYE",5
H16.231,"NEUROTROPHIC KERATOCONJUNCTIVITIS, RIGHT EYE",1
H16.232,"NEUROTROPHIC KERATOCONJUNCTIVITIS, LEFT EYE",4
H16.233,"NEUROTROPHIC KERATOCONJUNCTIVITIS, BILATERAL",1
H16.239,"NEUROTROPHIC KERATOCONJUNCTIVITIS, UNSPECIFIED EYE",3
H16.251,"PHLYCTENULAR KERATOCONJUNCTIVITIS, RIGHT EYE",4
H16.252,"PHLYCTENULAR KERATOCONJUNCTIVITIS, LEFT EYE",8
H16.253,"PHLYCTENULAR KERATOCONJUNCTIVITIS, BILATERAL",2
H16.259,"PHLYCTENULAR KERATOCONJUNCTIVITIS, UNSPECIFIED EYE",1
H16.261,"VERNAL KERATOCONJUNCT, W LIMBAR AND CORNEAL INVOLV, R EYE",2
H16.262,"VERNAL KERATOCONJUNCT, W LIMBAR AND CORNEAL INVOLV, LEFT EYE",6
H16.263,"VERNAL KERATOCONJUNCT, W LIMBAR AND CORNEAL INVOLV, BI",9
H16.291,"OTHER KERATOCONJUNCTIVITIS, RIGHT EYE",18
H16.292,"OTHER KERATOCONJUNCTIVITIS, LEFT EYE",21
H16.293,"OTHER KERATOCONJUNCTIVITIS, BILATERAL",28
H16.299,"OTHER KERATOCONJUNCTIVITIS, UNSPECIFIED EYE",1
H16.301,"UNSPECIFIED INTERSTITIAL KERATITIS, RIGHT EYE",5
H16.302,"UNSPECIFIED INTERSTITIAL KERATITIS, LEFT EYE",3
H16.303,"UNSPECIFIED INTERSTITIAL KERATITIS, BILATERAL",3
H16.309,"UNSPECIFIED INTERSTITIAL KERATITIS, UNSPECIFIED EYE",1
H16.311,"CORNEAL ABSCESS, RIGHT EYE",13
H16.312,"CORNEAL ABSCESS, LEFT EYE",11
H16.319,"CORNEAL ABSCESS, UNSPECIFIED EYE",2
H16.321,"DIFFUSE INTERSTITIAL KERATITIS, RIGHT EYE",1
H16.323,"DIFFUSE INTERSTITIAL KERATITIS, BILATERAL",1
H16.329,"DIFFUSE INTERSTITIAL KERATITIS, UNSPECIFIED EYE",11
H16.391,"OTHER INTERSTITIAL AND DEEP KERATITIS, RIGHT EYE",3
H16.392,"OTHER INTERSTITIAL AND DEEP KERATITIS, LEFT EYE",1
H16.393,"OTHER INTERSTITIAL AND DEEP KERATITIS, BILATERAL",2
H16.401,"UNSPECIFIED CORNEAL NEOVASCULARIZATION, RIGHT EYE",9
H16.402,"UNSPECIFIED CORNEAL NEOVASCULARIZATION, LEFT EYE",4
H16.403,"UNSPECIFIED CORNEAL NEOVASCULARIZATION, BILATERAL",7
H16.421,"PANNUS (CORNEAL), RIGHT EYE",3
H16.422,"PANNUS (CORNEAL), LEFT EYE",1
H16.429,"PANNUS (CORNEAL), UNSPECIFIED EYE",3
H16.8,OTHER KERATITIS,262
H16.9,UNSPECIFIED KERATITIS,596
H17.02,"ADHERENT LEUKOMA, LEFT EYE",1
H17.11,"CENTRAL CORNEAL OPACITY, RIGHT EYE",7
H17.12,"CENTRAL CORNEAL OPACITY, LEFT EYE",3
H17.13,"CENTRAL CORNEAL OPACITY, BILATERAL",5
H17.821,"PERIPHERAL OPACITY OF CORNEA, RIGHT EYE",3
H17.822,"PERIPHERAL OPACITY OF CORNEA, LEFT EYE",1
H17.823,"PERIPHERAL OPACITY OF CORNEA, BILATERAL",1
H17.89,OTHER CORNEAL SCARS AND OPACITIES,11
H17.9,UNSPECIFIED CORNEAL SCAR AND OPACITY,184
H18.001,"UNSPECIFIED CORNEAL DEPOSIT, RIGHT EYE",1
H18.002,"UNSPECIFIED CORNEAL DEPOSIT, LEFT EYE",4
H18.003,"UNSPECIFIED CORNEAL DEPOSIT, BILATERAL",2
H18.012,"ANTERIOR CORNEAL PIGMENTATIONS, LEFT EYE",1
H18.053,"POSTERIOR CORNEAL PIGMENTATIONS, BILATERAL",1
H18.061,"STROMAL CORNEAL PIGMENTATIONS, RIGHT EYE",1
H18.062,"STROMAL CORNEAL PIGMENTATIONS, LEFT EYE",3
H18.069,"STROMAL CORNEAL PIGMENTATIONS, UNSPECIFIED EYE",1
H18.10,"BULLOUS KERATOPATHY, UNSPECIFIED EYE",2
H18.11,"BULLOUS KERATOPATHY, RIGHT EYE",4
H18.12,"BULLOUS KERATOPATHY, LEFT EYE",6
H18.13,"BULLOUS KERATOPATHY, BILATERAL",1
H18.20,UNSPECIFIED CORNEAL EDEMA,159
H18.211,"CORNEAL EDEMA SECONDARY TO CONTACT LENS, RIGHT EYE",6
H18.212,"CORNEAL EDEMA SECONDARY TO CONTACT LENS, LEFT EYE",2
H18.213,"CORNEAL EDEMA SECONDARY TO CONTACT LENS, BILATERAL",4
H18.221,"IDIOPATHIC CORNEAL EDEMA, RIGHT EYE",2
H18.231,"SECONDARY CORNEAL EDEMA, RIGHT EYE",3
H18.232,"SECONDARY CORNEAL EDEMA, LEFT EYE",2
H18.30,UNSPECIFIED CORNEAL MEMBRANE CHANGE,19
H18.311,"FOLDS AND RUPTURE IN BOWMAN'S MEMBRANE, RIGHT EYE",1
H18.331,"RUPTURE IN DESCEMET'S MEMBRANE, RIGHT EYE",2
H18.40,UNSPECIFIED CORNEAL DEGENERATION,9
H18.411,"ARCUS SENILIS, RIGHT EYE",1
H18.412,"ARCUS SENILIS, LEFT EYE",2
H18.413,"ARCUS SENILIS, BILATERAL",11
H18.419,"ARCUS SENILIS, UNSPECIFIED EYE",5
H18.421,"BAND KERATOPATHY, RIGHT EYE",3
H18.422,"BAND KERATOPATHY, LEFT EYE",3
H18.423,"BAND KERATOPATHY, BILATERAL",2
H18.429,"BAND KERATOPATHY, UNSPECIFIED EYE",1
H18.452,"NODULAR CORNEAL DEGENERATION, LEFT EYE",3
H18.453,"NODULAR CORNEAL DEGENERATION, BILATERAL",4
H18.459,"NODULAR CORNEAL DEGENERATION, UNSPECIFIED EYE",2
H18.501,"UNSPECIFIED HEREDITARY CORNEAL DYSTROPHIES, RIGHT EYE",1
H18.502,"UNSPECIFIED HEREDITARY CORNEAL DYSTROPHIES, LEFT EYE",1
H18.503,"UNSPECIFIED HEREDITARY CORNEAL DYSTROPHIES, BILATERAL",2
H18.509,"UNSPECIFIED HEREDITARY CORNEAL DYSTROPHIES, UNSPECIFIED EYE",1
H18.511,"ENDOTHELIAL CORNEAL DYSTROPHY, RIGHT EYE",4
H18.512,"ENDOTHELIAL CORNEAL DYSTROPHY, LEFT EYE",5
H18.513,"ENDOTHELIAL CORNEAL DYSTROPHY, BILATERAL",13
H18.519,"ENDOTHELIAL CORNEAL DYSTROPHY, UNSPECIFIED EYE",15
H18.521,"EPITHELIAL (JUVENILE) CORNEAL DYSTROPHY, RIGHT EYE",5
H18.522,"EPITHELIAL (JUVENILE) CORNEAL DYSTROPHY, LEFT EYE",5
H18.523,"EPITHELIAL (JUVENILE) CORNEAL DYSTROPHY, BILATERAL",2
H18.529,"EPITHELIAL (JUVENILE) CORNEAL DYSTROPHY, UNSPECIFIED EYE",2
H18.549,"LATTICE CORNEAL DYSTROPHY, UNSPECIFIED EYE",1
H18.591,"OTHER HEREDITARY CORNEAL DYSTROPHIES, RIGHT EYE",1
H18.593,"OTHER HEREDITARY CORNEAL DYSTROPHIES, BILATERAL",2
H18.599,"OTHER HEREDITARY CORNEAL DYSTROPHIES, UNSPECIFIED EYE",6
H18.601,"KERATOCONUS, UNSPECIFIED, RIGHT EYE",25
H18.602,"KERATOCONUS, UNSPECIFIED, LEFT EYE",25
H18.603,"KERATOCONUS, UNSPECIFIED, BILATERAL",65
H18.609,"KERATOCONUS, UNSPECIFIED, UNSPECIFIED EYE",15
H18.612,"KERATOCONUS, STABLE, LEFT EYE",1
H18.613,"KERATOCONUS, STABLE, BILATERAL",2
H18.621,"KERATOCONUS, UNSTABLE, RIGHT EYE",12
H18.622,"KERATOCONUS, UNSTABLE, LEFT EYE",5
H18.623,"KERATOCONUS, UNSTABLE, BILATERAL",2
H18.70,UNSPECIFIED CORNEAL DEFORMITY,3
H18.712,"CORNEAL ECTASIA, LEFT EYE",3
H18.713,"CORNEAL ECTASIA, BILATERAL",4
H18.719,"CORNEAL ECTASIA, UNSPECIFIED EYE",1
H18.731,"DESCEMETOCELE, RIGHT EYE",3
H18.732,"DESCEMETOCELE, LEFT EYE",7
H18.792,"OTHER CORNEAL DEFORMITIES, LEFT EYE",2
H18.821,"CORNEAL DISORDER DUE TO CONTACT LENS, RIGHT EYE",360
H18.822,"CORNEAL DISORDER DUE TO CONTACT LENS, LEFT EYE",374
H18.823,"CORNEAL DISORDER DUE TO CONTACT LENS, BILATERAL",124
H18.829,"CORNEAL DISORDER DUE TO CONTACT LENS, UNSPECIFIED EYE",19
H18.831,"RECURRENT EROSION OF CORNEA, RIGHT EYE",8
H18.832,"RECURRENT EROSION OF CORNEA, LEFT EYE",16
H18.833,"RECURRENT EROSION OF CORNEA, BILATERAL",2
H18.839,"RECURRENT EROSION OF CORNEA, UNSPECIFIED EYE",1
H18.891,"OTHER SPECIFIED DISORDERS OF CORNEA, RIGHT EYE",271
H18.892,"OTHER SPECIFIED DISORDERS OF CORNEA, LEFT EYE",245
H18.893,"OTHER SPECIFIED DISORDERS OF CORNEA, BILATERAL",49
H18.899,"OTHER SPECIFIED DISORDERS OF CORNEA, UNSPECIFIED EYE",28
H18.9,UNSPECIFIED DISORDER OF CORNEA,78
H20.00,UNSPECIFIED ACUTE AND SUBACUTE IRIDOCYCLITIS,497
H20.011,"PRIMARY IRIDOCYCLITIS, RIGHT EYE",33
H20.012,"PRIMARY IRIDOCYCLITIS, LEFT EYE",36
H20.013,"PRIMARY IRIDOCYCLITIS, BILATERAL",4
H20.021,"RECURRENT ACUTE IRIDOCYCLITIS, RIGHT EYE",12
H20.022,"RECURRENT ACUTE IRIDOCYCLITIS, LEFT EYE",11
H20.023,"RECURRENT ACUTE IRIDOCYCLITIS, BILATERAL",4
H20.031,"SECONDARY INFECTIOUS IRIDOCYCLITIS, RIGHT EYE",2
H20.032,"SECONDARY INFECTIOUS IRIDOCYCLITIS, LEFT EYE",2
H20.039,"SECONDARY INFECTIOUS IRIDOCYCLITIS, UNSPECIFIED EYE",2
H20.041,"SECONDARY NONINFECTIOUS IRIDOCYCLITIS, RIGHT EYE",33
H20.042,"SECONDARY NONINFECTIOUS IRIDOCYCLITIS, LEFT EYE",24
H20.043,"SECONDARY NONINFECTIOUS IRIDOCYCLITIS, BILATERAL",1
H20.049,"SECONDARY NONINFECTIOUS IRIDOCYCLITIS, UNSPECIFIED EYE",9
H20.051,"HYPOPYON, RIGHT EYE",47
H20.052,"HYPOPYON, LEFT EYE",59
H20.059,"HYPOPYON, UNSPECIFIED EYE",7
H20.10,"CHRONIC IRIDOCYCLITIS, UNSPECIFIED EYE",14
H20.11,"CHRONIC IRIDOCYCLITIS, RIGHT EYE",6
H20.12,"CHRONIC IRIDOCYCLITIS, LEFT EYE",20
H20.13,"CHRONIC IRIDOCYCLITIS, BILATERAL",30
H20.20,"LENS-INDUCED IRIDOCYCLITIS, UNSPECIFIED EYE",1
H20.21,"LENS-INDUCED IRIDOCYCLITIS, RIGHT EYE",3
H20.22,"LENS-INDUCED IRIDOCYCLITIS, LEFT EYE",3
H20.819,"FUCHS' HETEROCHROMIC CYCLITIS, UNSPECIFIED EYE",8
H20.821,"VOGT-KOYANAGI SYNDROME, RIGHT EYE",3
H20.822,"VOGT-KOYANAGI SYNDROME, LEFT EYE",2
H20.823,"VOGT-KOYANAGI SYNDROME, BILATERAL",14
H20.829,"VOGT-KOYANAGI SYNDROME, UNSPECIFIED EYE",19
H20.9,UNSPECIFIED IRIDOCYCLITIS,2693
H21.00,"HYPHEMA, UNSPECIFIED EYE",29
H21.01,"HYPHEMA, RIGHT EYE",242
H21.02,"HYPHEMA, LEFT EYE",231
H21.03,"HYPHEMA, BILATERAL",3
H21.1X1,"OTHER VASCULAR DISORDERS OF IRIS AND CILIARY BODY, RIGHT EYE",4
H21.1X2,"OTHER VASCULAR DISORDERS OF IRIS AND CILIARY BODY, LEFT EYE",4
H21.1X3,"OTHER VASCULAR DISORDERS OF IRIS AND CILIARY BODY, BILATERAL",4
H21.1X9,"OTHER VASCULAR DISORDERS OF IRIS AND CILIARY BODY, UNSP EYE",14
H21.219,"DEGENERATION OF CHAMBER ANGLE, UNSPECIFIED EYE",1
H21.232,"DEGENERATION OF IRIS (PIGMENTARY), LEFT EYE",2
H21.233,"DEGENERATION OF IRIS (PIGMENTARY), BILATERAL",6
H21.239,"DEGENERATION OF IRIS (PIGMENTARY), UNSPECIFIED EYE",2
H21.261,"IRIS ATROPHY (ESSENTIAL) (PROGRESSIVE), RIGHT EYE",1
H21.29,OTHER IRIS ATROPHY,3
H21.343,"PRIMARY CYST OF PARS PLANA, BILATERAL",1
H21.40,"PUPILLARY MEMBRANES, UNSPECIFIED EYE",1
H21.41,"PUPILLARY MEMBRANES, RIGHT EYE",3
H21.42,"PUPILLARY MEMBRANES, LEFT EYE",1
H21.43,"PUPILLARY MEMBRANES, BILATERAL",1
H21.501,"UNSPECIFIED ADHESIONS OF IRIS, RIGHT EYE",1
H21.502,"UNSPECIFIED ADHESIONS OF IRIS, LEFT EYE",1
H21.503,"UNSPECIFIED ADHESIONS OF IRIS, BILATERAL",1
H21.511,"ANTERIOR SYNECHIAE (IRIS), RIGHT EYE",3
H21.531,"IRIDODIALYSIS, RIGHT EYE",7
H21.532,"IRIDODIALYSIS, LEFT EYE",7
H21.541,"POSTERIOR SYNECHIAE (IRIS), RIGHT EYE",3
H21.542,"POSTERIOR SYNECHIAE (IRIS), LEFT EYE",4
H21.543,"POSTERIOR SYNECHIAE (IRIS), BILATERAL",1
H21.552,"RECESSION OF CHAMBER ANGLE, LEFT EYE",1
H21.561,"PUPILLARY ABNORMALITY, RIGHT EYE",36
H21.562,"PUPILLARY ABNORMALITY, LEFT EYE",48
H21.563,"PUPILLARY ABNORMALITY, BILATERAL",12
H21.569,"PUPILLARY ABNORMALITY, UNSPECIFIED EYE",13
H21.89,OTHER SPECIFIED DISORDERS OF IRIS AND CILIARY BODY,15
H21.9,UNSPECIFIED DISORDER OF IRIS AND CILIARY BODY,13
H25.011,"CORTICAL AGE-RELATED CATARACT, RIGHT EYE",14
H25.012,"CORTICAL AGE-RELATED CATARACT, LEFT EYE",8
H25.013,"CORTICAL AGE-RELATED CATARACT, BILATERAL",54
H25.019,"CORTICAL AGE-RELATED CATARACT, UNSPECIFIED EYE",9
H25.031,"ANTERIOR SUBCAPSULAR POLAR AGE-RELATED CATARACT, RIGHT EYE",1
H25.032,"ANTERIOR SUBCAPSULAR POLAR AGE-RELATED CATARACT, LEFT EYE",1
H25.033,"ANTERIOR SUBCAPSULAR POLAR AGE-RELATED CATARACT, BILATERAL",8
H25.039,"ANTERIOR SUBCAPSULAR POLAR AGE-RELATED CATARACT, UNSP EYE",1
H25.041,"POSTERIOR SUBCAPSULAR POLAR AGE-RELATED CATARACT, RIGHT EYE",21
H25.042,"POSTERIOR SUBCAPSULAR POLAR AGE-RELATED CATARACT, LEFT EYE",18
H25.043,"POSTERIOR SUBCAPSULAR POLAR AGE-RELATED CATARACT, BILATERAL",37
H25.049,"POSTERIOR SUBCAPSULAR POLAR AGE-RELATED CATARACT, UNSP EYE",10
H25.093,"OTHER AGE-RELATED INCIPIENT CATARACT, BILATERAL",8
H25.10,"AGE-RELATED NUCLEAR CATARACT, UNSPECIFIED EYE",44
H25.11,"AGE-RELATED NUCLEAR CATARACT, RIGHT EYE",83
H25.12,"AGE-RELATED NUCLEAR CATARACT, LEFT EYE",70
H25.13,"AGE-RELATED NUCLEAR CATARACT, BILATERAL",482
H25.20,"AGE-RELATED CATARACT, MORGAGNIAN TYPE, UNSPECIFIED EYE",1
H25.21,"AGE-RELATED CATARACT, MORGAGNIAN TYPE, RIGHT EYE",11
H25.22,"AGE-RELATED CATARACT, MORGAGNIAN TYPE, LEFT EYE",11
H25.23,"AGE-RELATED CATARACT, MORGAGNIAN TYPE, BILATERAL",7
H25.811,"COMBINED FORMS OF AGE-RELATED CATARACT, RIGHT EYE",66
H25.812,"COMBINED FORMS OF AGE-RELATED CATARACT, LEFT EYE",72
H25.813,"COMBINED FORMS OF AGE-RELATED CATARACT, BILATERAL",323
H25.819,"COMBINED FORMS OF AGE-RELATED CATARACT, UNSPECIFIED EYE",2
H25.89,OTHER AGE-RELATED CATARACT,18
H25.9,UNSPECIFIED AGE-RELATED CATARACT,208
H26.001,"UNSPECIFIED INFANTILE AND JUVENILE CATARACT, RIGHT EYE",9
H26.002,"UNSPECIFIED INFANTILE AND JUVENILE CATARACT, LEFT EYE",8
H26.003,"UNSPECIFIED INFANTILE AND JUVENILE CATARACT, BILATERAL",14
H26.042,"ANT SUBCAPSULAR POLAR INFANTILE AND JUV CATARACT, LEFT EYE",1
H26.051,"POST SUBCAPSULAR POLAR INFANTILE AND JUV CATARACT, R EYE",1
H26.052,"POST SUBCAPSULAR POLAR INFANTILE AND JUV CATARACT, LEFT EYE",1
H26.053,"POST SUBCAPSULAR POLAR INFANTILE AND JUVENILE CATARACT, BI",1
H26.09,OTHER INFANTILE AND JUVENILE CATARACT,1
H26.101,"UNSPECIFIED TRAUMATIC CATARACT, RIGHT EYE",25
H26.102,"UNSPECIFIED TRAUMATIC CATARACT, LEFT EYE",27
H26.103,"UNSPECIFIED TRAUMATIC CATARACT, BILATERAL",1
H26.109,"UNSPECIFIED TRAUMATIC CATARACT, UNSPECIFIED EYE",4
H26.111,"LOCALIZED TRAUMATIC OPACITIES, RIGHT EYE",2
H26.112,"LOCALIZED TRAUMATIC OPACITIES, LEFT EYE",2
H26.131,"TOTAL TRAUMATIC CATARACT, RIGHT EYE",1
H26.132,"TOTAL TRAUMATIC CATARACT, LEFT EYE",2
H26.139,"TOTAL TRAUMATIC CATARACT, UNSPECIFIED EYE",1
H26.20,UNSPECIFIED COMPLICATED CATARACT,6
H26.213,"CATARACT WITH NEOVASCULARIZATION, BILATERAL",4
H26.221,"CATARACT SECONDARY TO OCULAR DISORDERS, RIGHT EYE",3
H26.222,"CATARACT SECONDARY TO OCULAR DISORDERS, LEFT EYE",3
H26.223,"CATARACT SECONDARY TO OCULAR DISORDERS, BILATERAL",2
H26.229,"CATARACT SECONDARY TO OCULAR DISORDERS, UNSP EYE",1
H26.239,"GLAUCOMATOUS FLECKS (SUBCAPSULAR), UNSPECIFIED EYE",1
H26.40,UNSPECIFIED SECONDARY CATARACT,81
H26.411,"SOEMMERING'S RING, RIGHT EYE",1
H26.491,"OTHER SECONDARY CATARACT, RIGHT EYE",62
H26.492,"OTHER SECONDARY CATARACT, LEFT EYE",44
H26.493,"OTHER SECONDARY CATARACT, BILATERAL",32
H26.499,"OTHER SECONDARY CATARACT, UNSPECIFIED EYE",5
H26.8,OTHER SPECIFIED CATARACT,583
H26.9,UNSPECIFIED CATARACT,4033
H27.00,"APHAKIA, UNSPECIFIED EYE",7
H27.01,"APHAKIA, RIGHT EYE",17
H27.02,"APHAKIA, LEFT EYE",19
H27.03,"APHAKIA, BILATERAL",16
H27.10,UNSPECIFIED DISLOCATION OF LENS,36
H27.111,"SUBLUXATION OF LENS, RIGHT EYE",12
H27.112,"SUBLUXATION OF LENS, LEFT EYE",15
H27.113,"SUBLUXATION OF LENS, BILATERAL",2
H27.121,"ANTERIOR DISLOCATION OF LENS, RIGHT EYE",7
H27.122,"ANTERIOR DISLOCATION OF LENS, LEFT EYE",6
H27.131,"POSTERIOR DISLOCATION OF LENS, RIGHT EYE",5
H27.132,"POSTERIOR DISLOCATION OF LENS, LEFT EYE",9
H27.8,OTHER SPECIFIED DISORDERS OF LENS,6
H27.9,UNSPECIFIED DISORDER OF LENS,3
H28.,CATARACT IN DISEASES CLASSIFIED ELSEWHERE,1
H30.002,"UNSPECIFIED FOCAL CHORIORETINAL INFLAMMATION, LEFT EYE",1
H30.131,"DISSEM CHORIORETIN INFLAMMATION, GENERALIZED, RIGHT EYE",1
H30.133,"DISSEM CHORIORETIN INFLAMMATION, GENERALIZED, BILATERAL",2
H30.143,"ACUTE POSTERIOR MULTIFOC PLACOID PIGMENT EPITHELIOPATHY, BI",2
H30.20,"POSTERIOR CYCLITIS, UNSPECIFIED EYE",8
H30.21,"POSTERIOR CYCLITIS, RIGHT EYE",1
H30.22,"POSTERIOR CYCLITIS, LEFT EYE",2
H30.23,"POSTERIOR CYCLITIS, BILATERAL",4
H30.812,"HARADA'S DISEASE, LEFT EYE",1
H30.891,"OTHER CHORIORETINAL INFLAMMATIONS, RIGHT EYE",5
H30.892,"OTHER CHORIORETINAL INFLAMMATIONS, LEFT EYE",6
H30.899,"OTHER CHORIORETINAL INFLAMMATIONS, UNSPECIFIED EYE",4
H30.90,"UNSPECIFIED CHORIORETINAL INFLAMMATION, UNSPECIFIED EYE",8
H30.91,"UNSPECIFIED CHORIORETINAL INFLAMMATION, RIGHT EYE",17
H30.92,"UNSPECIFIED CHORIORETINAL INFLAMMATION, LEFT EYE",11
H30.93,"UNSPECIFIED CHORIORETINAL INFLAMMATION, BILATERAL",24
H31.001,"UNSPECIFIED CHORIORETINAL SCARS, RIGHT EYE",7
H31.002,"UNSPECIFIED CHORIORETINAL SCARS, LEFT EYE",14
H31.003,"UNSPECIFIED CHORIORETINAL SCARS, BILATERAL",5
H31.009,"UNSPECIFIED CHORIORETINAL SCARS, UNSPECIFIED EYE",4
H31.011,"MACULA SCARS OF POSTERIOR POLE (POST-TRAUMATIC), RIGHT EYE",5
H31.012,"MACULA SCARS OF POSTERIOR POLE (POST-TRAUMATIC), LEFT EYE",69
H31.019,"MACULA SCARS OF POSTERIOR POLE (POST-TRAUMATIC), UNSP EYE",2
H31.021,"SOLAR RETINOPATHY, RIGHT EYE",1
H31.023,"SOLAR RETINOPATHY, BILATERAL",1
H31.029,"SOLAR RETINOPATHY, UNSPECIFIED EYE",1
H31.092,"OTHER CHORIORETINAL SCARS, LEFT EYE",1
H31.093,"OTHER CHORIORETINAL SCARS, BILATERAL",4
H31.099,"OTHER CHORIORETINAL SCARS, UNSPECIFIED EYE",1
H31.101,"CHOROIDAL DEGENERATION, UNSPECIFIED, RIGHT EYE",2
H31.102,"CHOROIDAL DEGENERATION, UNSPECIFIED, LEFT EYE",3
H31.109,"CHOROIDAL DEGENERATION, UNSPECIFIED, UNSPECIFIED EYE",2
H31.113,"AGE-RELATED CHOROIDAL ATROPHY, BILATERAL",1
H31.119,"AGE-RELATED CHOROIDAL ATROPHY, UNSPECIFIED EYE",1
H31.22,CHOROIDAL DYSTROPHY (CENTRAL AREOLAR) (PERIPAPILLARY),1
H31.301,"UNSPECIFIED CHOROIDAL HEMORRHAGE, RIGHT EYE",2
H31.302,"UNSPECIFIED CHOROIDAL HEMORRHAGE, LEFT EYE",3
H31.309,"UNSPECIFIED CHOROIDAL HEMORRHAGE, UNSPECIFIED EYE",3
H31.321,"CHOROIDAL RUPTURE, RIGHT EYE",2
H31.322,"CHOROIDAL RUPTURE, LEFT EYE",2
H31.401,"UNSPECIFIED CHOROIDAL DETACHMENT, RIGHT EYE",7
H31.402,"UNSPECIFIED CHOROIDAL DETACHMENT, LEFT EYE",3
H31.411,"HEMORRHAGIC CHOROIDAL DETACHMENT, RIGHT EYE",1
H31.412,"HEMORRHAGIC CHOROIDAL DETACHMENT, LEFT EYE",1
H31.422,"SEROUS CHOROIDAL DETACHMENT, LEFT EYE",1
H31.8,OTHER SPECIFIED DISORDERS OF CHOROID,13
H31.9,UNSPECIFIED DISORDER OF CHOROID,10
H32.,CHORIORETINAL DISORDERS IN DISEASES CLASSIFIED ELSEWHERE,1
H33.001,"UNSPECIFIED RETINAL DETACHMENT WITH RETINAL BREAK, RIGHT EYE",119
H33.002,"UNSPECIFIED RETINAL DETACHMENT WITH RETINAL BREAK, LEFT EYE",119
H33.003,"UNSPECIFIED RETINAL DETACHMENT WITH RETINAL BREAK, BILATERAL",5
H33.009,"UNSP RETINAL DETACHMENT WITH RETINAL BREAK, UNSPECIFIED EYE",4
H33.011,"RETINAL DETACHMENT WITH SINGLE BREAK, RIGHT EYE",27
H33.012,"RETINAL DETACHMENT WITH SINGLE BREAK, LEFT EYE",21
H33.013,"RETINAL DETACHMENT WITH SINGLE BREAK, BILATERAL",2
H33.021,"RETINAL DETACHMENT WITH MULTIPLE BREAKS, RIGHT EYE",23
H33.022,"RETINAL DETACHMENT WITH MULTIPLE BREAKS, LEFT EYE",16
H33.023,"RETINAL DETACHMENT WITH MULTIPLE BREAKS, BILATERAL",4
H33.031,"RETINAL DETACHMENT WITH GIANT RETINAL TEAR, RIGHT EYE",10
H33.032,"RETINAL DETACHMENT WITH GIANT RETINAL TEAR, LEFT EYE",10
H33.039,"RETINAL DETACHMENT WITH GIANT RETINAL TEAR, UNSPECIFIED EYE",1
H33.041,"RETINAL DETACHMENT WITH RETINAL DIALYSIS, RIGHT EYE",1
H33.042,"RETINAL DETACHMENT WITH RETINAL DIALYSIS, LEFT EYE",2
H33.049,"RETINAL DETACHMENT WITH RETINAL DIALYSIS, UNSPECIFIED EYE",1
